#ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS	STD
12722	1003	1003	1205	0	202	2	95	1.07
12723	1003	1003	1203	0	200	2	95	1.07
12724	1003	1003	1203	0	200	2	95	1.07
12725	1002	1002	1206	0	204	2	95	1.07
12726	1005	1004	1207	1	203	3	95	1.07
12727	1003	1003	1203	0	200	2	95	1.07
12728	1003	1003	1205	0	202	2	95	1.07
12729	1003	1003	1203	0	200	2	95	1.07
12730	999	999	1199	0	200	2	95	1.08
12731	1001	1001	1203	0	202	2	95	1.08
12732	1003	1003	1205	0	202	2	95	1.08
12733	1005	1004	1205	1	201	3	95	1.08
12734	1003	1003	1203	0	200	2	95	1.08
12735	1003	1003	1205	0	202	2	95	1.08
12736	1003	1003	1203	0	200	2	95	1.08
12737	1002	1002	1204	0	202	2	95	1.08
12738	1003	1003	1203	0	200	2	95	1.08
12739	1003	1003	1203	0	200	2	95	1.08
12740	1003	1003	1203	0	200	2	95	1.08
12741	1003	1003	1203	0	200	2	95	1.07
12742	1003	1003	1205	0	202	2	95	1.07
12743	1003	1003	1203	0	200	2	95	1.07
12744	1003	1003	1203	0	200	2	95	1.07
12745	1002	1002	1204	0	202	2	95	1.07
12746	1000	999	1201	1	202	2	95	1.08
12747	1001	1001	1201	0	200	2	95	1.08
12748	1005	1004	1205	1	201	3	95	1.08
12749	1003	1003	1203	0	200	2	95	1.08
12750	1003	1003	1203	0	200	2	95	1.08
12751	1002	1002	1204	0	202	2	95	1.08
12752	1002	1002	1204	0	202	2	95	1.08
12753	1003	1003	1203	0	200	2	95	1.08
12754	1003	1003	1205	0	202	2	95	1.08
12755	1005	1003	1206	2	203	3	95	1.08
12756	1003	1003	1205	0	202	2	95	1.08
12757	1003	1003	1203	0	200	2	95	1.08
12758	1003	1003	1203	0	200	2	95	1.08
12759	1002	1002	1204	0	202	2	95	1.07
12760	1003	1003	1205	0	202	2	95	1.07
12761	1003	1003	1205	0	202	2	95	1.07
12762	1001	1001	1203	0	202	2	95	1.07
12763	999	999	1201	0	202	2	95	1.08
12764	1003	1003	1203	0	200	2	95	1.08
12765	1003	1003	1203	0	200	2	95	1.08
12766	1003	1003	1205	0	202	2	95	1.08
12767	1003	1003	1205	0	202	2	95	1.08
12768	1003	1003	1203	0	200	2	95	1.08
12769	1003	1003	1203	0	200	2	95	1.08
12770	1004	1003	1206	1	203	3	95	1.08
12771	1003	1003	1205	0	202	2	95	1.08
12772	1002	1002	1205	0	203	2	95	1.08
12773	1002	1002	1204	0	202	2	95	1.08
12774	1002	1002	1202	0	200	2	95	1.07
12775	1003	1003	1205	0	202	2	95	1.07
12776	1003	1003	1205	0	202	2	95	1.07
12777	1005	1004	1207	1	203	3	95	1.07
12778	1001	1001	1202	0	201	2	95	1.08
12779	999	999	1201	0	202	2	95	1.08
12780	1003	1003	1204	0	201	2	95	1.08
12781	1003	1003	1203	0	200	2	95	1.08
12782	1003	1003	1203	0	200	2	95	1.08
12783	1002	1002	1204	0	202	2	95	1.08
12784	1003	1003	1207	0	204	2	95	1.08
12785	1003	1003	1203	0	200	2	95	1.08
12786	1002	1002	1204	0	202	2	95	1.08
12787	1002	1002	1205	0	203	2	95	1.08
12788	1003	1003	1203	0	200	2	95	1.08
12789	1002	1002	1204	0	202	2	95	1.08
12790	1002	1002	1202	0	200	2	95	1.08
12791	1003	1003	1203	0	200	2	95	1.08
12792	1005	1004	1205	1	201	3	95	1.08
12793	1003	1003	1203	0	200	2	95	1.08
12794	1002	1002	1204	0	202	2	95	1.07
12795	999	999	1201	0	202	2	95	1.08
12796	1003	1003	1203	0	200	2	95	1.08
12797	1003	1003	1203	0	200	2	95	1.08
12798	1003	1003	1205	0	202	2	95	1.08
12799	1005	1004	1205	1	201	3	95	1.08
12800	1002	1002	1204	0	202	2	95	1.08
12801	1003	1003	1203	0	200	2	95	1.08
12802	1003	1003	1205	0	202	2	95	1.08
12803	1003	1003	1205	0	202	2	95	1.08
12804	1003	1002	1205	1	203	3	95	1.08
12805	1003	1003	1205	0	202	2	95	1.08
12806	1003	1003	1205	0	202	2	95	1.08
12807	1003	1003	1203	0	200	2	95	1.08
12808	1003	1003	1205	0	202	2	95	1.08
12809	1003	1003	1205	0	202	2	95	1.08
12810	1002	1002	1205	0	203	2	95	1.07
12811	998	998	1198	0	200	2	95	1.08
12812	1002	1002	1204	0	202	2	95	1.08
12813	1003	1003	1205	0	202	2	95	1.08
12814	1004	1003	1206	1	203	3	95	1.08
12815	1003	1003	1203	0	200	2	95	1.08
12816	1003	1003	1203	0	200	2	95	1.08
12817	1003	1003	1203	0	200	2	95	1.08
12818	1003	1003	1205	0	202	2	95	1.08
12819	1002	1002	1204	0	202	2	95	1.08
12820	1003	1003	1203	0	200	2	95	1.08
12821	1005	1004	1205	1	201	3	95	1.08
12822	1003	1003	1203	0	200	2	95	1.08
12823	1002	1002	1204	0	202	2	95	1.08
12824	1003	1003	1205	0	202	2	95	1.08
12825	1003	1003	1203	0	200	2	95	1.08
12826	1002	1002	1204	0	202	2	95	1.08
12827	999	999	1199	0	200	2	95	1.08
12828	1002	1002	1206	0	204	2	95	1.08
12829	1003	1003	1203	0	200	2	95	1.08
12830	1002	1002	1204	0	202	2	95	1.08
12831	1002	1002	1204	0	202	2	95	1.08
12832	1003	1003	1203	0	200	2	95	1.08
12833	1003	1003	1205	0	202	2	95	1.08
12834	1003	1003	1205	0	202	2	95	1.08
12835	1003	1003	1203	0	200	2	95	1.08
12836	1005	1004	1205	1	201	3	95	1.08
12837	1002	1002	1204	0	202	2	95	1.08
12838	1002	1002	1204	0	202	2	95	1.08
12839	1003	1003	1203	0	200	2	95	1.08
12840	1002	1002	1204	0	202	2	95	1.08
12841	1003	1003	1203	0	200	2	95	1.08
12842	1002	1002	1204	0	202	2	95	1.08
12843	1001	1000	1202	1	202	3	95	1.08
12844	1001	1001	1203	0	202	2	95	1.08
12845	1003	1003	1205	0	202	2	95	1.08
12846	1002	1002	1206	0	204	2	95	1.08
12847	1003	1003	1204	0	201	2	95	1.08
12848	1003	1003	1203	0	200	2	95	1.08
12849	1003	1003	1205	0	202	2	95	1.08
12850	1005	1004	1205	1	201	3	95	1.08
12851	1003	1003	1205	0	202	2	95	1.08
12852	1003	1003	1203	0	200	2	95	1.08
12853	1002	1002	1202	0	200	2	95	1.08
12854	1003	1003	1203	0	200	2	95	1.08
12855	1003	1003	1203	0	200	2	95	1.08
12856	1003	1003	1203	0	200	2	95	1.08
12857	1003	1003	1205	0	202	2	95	1.08
12858	1003	1003	1204	0	201	3	95	1.08
12859	1000	1000	1202	0	202	2	95	1.08
12860	1000	1000	1202	0	202	2	95	1.08
12861	1002	1002	1204	0	202	2	95	1.08
12862	1003	1003	1205	0	202	2	95	1.08
12863	1003	1003	1203	0	200	2	95	1.08
12864	1002	1002	1204	0	202	2	95	1.08
12865	1004	1003	1204	1	201	3	95	1.08
12866	1003	1003	1205	0	202	2	95	1.08
12867	1002	1002	1204	0	202	2	95	1.08
12868	1003	1003	1204	0	201	2	95	1.08
12869	1002	1002	1204	0	202	2	95	1.08
12870	1003	1003	1203	0	200	2	95	1.08
12871	1002	1002	1204	0	202	2	95	1.08
12872	1004	1004	1205	0	201	3	95	1.08
12873	1002	1002	1205	0	203	2	95	1.08
12874	1002	1002	1204	0	202	2	95	1.08
12875	999	999	1202	0	203	2	95	1.08
12876	1000	1000	1202	0	202	2	95	1.08
12877	1002	1002	1204	0	202	2	95	1.08
12878	1002	1002	1204	0	202	2	95	1.08
12879	1003	1003	1203	0	200	2	95	1.08
12880	1002	1002	1204	0	202	2	95	1.08
12881	1003	1003	1203	0	200	2	95	1.08
12882	1002	1002	1206	0	204	2	95	1.08
12883	1003	1003	1203	0	200	2	95	1.08
12884	1002	1002	1204	0	202	2	95	1.08
12885	1003	1003	1205	0	202	2	95	1.08
12886	1002	1002	1204	0	202	2	95	1.08
12887	1005	1004	1207	1	203	3	95	1.08
12888	1002	1002	1204	0	202	2	95	1.08
12889	1003	1003	1205	0	202	2	95	1.08
12890	1003	1003	1203	0	200	2	95	1.08
12891	1001	1001	1201	0	200	2	95	1.08
12892	999	999	1201	0	202	2	95	1.08
12893	1003	1003	1203	0	200	2	95	1.08
12894	1005	1004	1205	1	201	3	95	1.08
12895	1003	1003	1203	0	200	2	95	1.08
12896	1003	1003	1205	0	202	2	95	1.08
12897	1003	1003	1205	0	202	2	95	1.08
12898	1003	1003	1205	0	202	2	95	1.08
12899	1003	1003	1205	0	202	2	95	1.08
12900	1002	1002	1204	0	202	2	95	1.08
12901	1003	1003	1203	0	200	2	95	1.08
12902	1003	1002	1204	1	202	2	95	1.08
12903	1002	1002	1206	0	204	2	95	1.08
12904	1002	1002	1204	0	202	2	95	1.08
12905	1003	1002	1204	1	202	2	95	1.08
12906	1003	1003	1203	0	200	2	95	1.08
12907	1001	1001	1203	0	202	2	95	1.08
12908	999	999	1201	0	202	2	95	1.08
12909	1005	1004	1207	1	203	3	95	1.08
12910	1002	1002	1204	0	202	2	95	1.08
12911	1003	1003	1203	0	200	2	95	1.08
12912	1003	1003	1203	0	200	2	95	1.08
12913	1003	1003	1203	0	200	2	95	1.08
12914	1003	1003	1205	0	202	2	95	1.08
12915	1003	1003	1203	0	200	2	95	1.08
12916	1005	1004	1205	1	201	3	95	1.08
12917	1002	1002	1204	0	202	2	95	1.08
12918	1003	1003	1205	0	202	2	95	1.08
12919	1003	1003	1203	0	200	2	95	1.08
12920	1003	1002	1204	1	202	2	95	1.08
12921	1003	1003	1203	0	200	2	95	1.08
12922	1003	1003	1205	0	202	2	95	1.08
12923	1002	1002	1202	0	200	2	95	1.08
12924	999	999	1201	0	202	2	95	1.08
12925	1003	1003	1205	0	202	2	95	1.08
12926	1003	1003	1203	0	200	2	95	1.08
12927	1003	1003	1205	0	202	2	95	1.08
12928	1003	1003	1203	0	200	2	95	1.08
12929	1003	1003	1205	0	202	2	95	1.08
12930	1003	1003	1205	0	202	2	95	1.08
12931	1005	1004	1207	1	203	3	95	1.08
12932	1003	1003	1205	0	202	2	95	1.08
12933	1002	1002	1204	0	202	2	95	1.08
12934	1002	1002	1204	0	202	2	95	1.08
12935	1002	1002	1204	0	202	2	95	1.08
12936	1003	1003	1205	0	202	2	95	1.08
12937	1003	1003	1203	0	200	2	95	1.08
12938	1004	1003	1206	1	203	3	95	1.08
12939	1002	1002	1202	0	200	2	95	1.08
12940	999	999	1199	0	200	2	95	1.08
12941	1002	1002	1206	0	204	2	95	1.08
12942	1003	1003	1205	0	202	2	95	1.08
12943	1003	1003	1203	0	200	2	95	1.08
12944	1002	1002	1204	0	202	2	95	1.08
12945	1003	1003	1203	0	200	2	95	1.08
12946	1002	1002	1204	0	202	2	95	1.08
12947	1002	1002	1204	0	202	2	95	1.08
12948	1002	1002	1204	0	202	2	95	1.08
12949	1002	1002	1204	0	202	2	95	1.08
12950	1003	1003	1205	0	202	2	95	1.08
12951	1003	1003	1203	0	200	2	95	1.08
12952	1002	1002	1204	0	202	2	95	1.08
12953	1005	1004	1207	1	203	3	95	1.08
12954	1003	1003	1205	0	202	2	95	1.08
12955	1003	1003	1203	0	200	2	95	1.08
12956	999	999	1199	0	200	2	95	1.08
12957	1002	1002	1204	0	202	2	95	1.08
12958	1003	1003	1203	0	200	2	95	1.08
12959	1003	1003	1203	0	200	2	95	1.08
12960	1005	1004	1205	1	201	3	95	1.08
12961	1003	1003	1203	0	200	2	95	1.08
12962	1002	1002	1204	0	202	2	95	1.08
12963	1003	1003	1203	0	200	2	95	1.08
12964	1003	1003	1203	0	200	2	95	1.08
12965	1003	1003	1205	0	202	2	95	1.08
12966	1002	1002	1204	0	202	2	95	1.08
12967	1003	1003	1205	0	202	2	95	1.08
12968	1003	1003	1203	0	200	2	95	1.08
12969	1002	1002	1204	0	202	2	95	1.08
12970	1002	1002	1204	0	202	2	95	1.08
12971	1003	1003	1205	0	202	2	95	1.08
12972	999	999	1199	0	200	2	95	1.08
12973	1003	1003	1203	0	200	2	95	1.08
12974	1003	1003	1203	0	200	2	95	1.08
12975	1005	1004	1205	1	201	3	95	1.08
12976	1003	1003	1203	0	200	2	95	1.08
12977	1002	1002	1204	0	202	2	95	1.08
12978	1003	1003	1203	0	200	2	95	1.08
12979	1002	1002	1204	0	202	2	95	1.08
12980	1003	1003	1205	0	202	2	95	1.08
12981	1003	1003	1203	0	200	2	95	1.08
12982	1004	1003	1206	1	203	3	95	1.08
12983	1002	1002	1204	0	202	2	95	1.08
12984	1003	1002	1204	1	202	2	95	1.08
12985	1003	1003	1205	0	202	2	95	1.08
12986	1003	1003	1203	0	200	2	95	1.08
12987	1003	1003	1205	0	202	2	95	1.08
12988	1000	1000	1200	0	200	2	95	1.08
